Sorter ID,Molecular ID,Sorter Initials
KB,KB,XX1
KB,KB,XX1
SSB,KB,XX1
BSB,BSB,XX1
KB,BSB,XX1
KB,KB,XX1
KB,KB,XX1
KB,KB,XX1
KB,BSB,XX1
KB,KB,XX1
KB,BSB,XX1
KB,KB,XX1
KB,BSB,XX1
BSB,BSB,XX1
KB,KB,XX1
KB,KB,XX1
BSB,BSB,XX1
KB,KB,XX1
KB,BSB,XX1
KB,KB,XX1
KB,KB,XX1
KB,KB,XX2
KB,KB,XX2
SSB,KB,XX2
BSB,BSB,XX2
BSB,BSB,XX2
BSB,BSB,XX2
KB,BSB,XX2
KB,KB,XX2
KB,KB,XX2
KB,KB,XX2
KB,KB,XX2
SSB,BSB,XX2
KB,KB,XX2
SSB,BSB,XX2
BSB,BSB,XX3
BSB,BSB,XX3
BSB,BSB,XX3
KB,KB,XX3
KB,KB,XX3
