"","label","id","species"
"1","A","PAR-2","P. clathratus"
"2","B","PAR-5","P. clathratus"
"3","C","PAR-7","P. nebulifer"
"4","D","PAR-11","P. nebulifer"
"5","E","PAR-13","P. nebulifer"
"6","F","PAR-35","P. clathratus"
"7","G","PAR-37","P. clathratus"
"8","H","PAR-43","P. maculatofasciatus"
"9","I","PAR-49","P. clathratus"
"10","J","PAR-53","P. clathratus"
"11","K","PAR-54","P. nebulifer"
"12","L","PAR-57","P. clathratus"
"13","M","PAR-58","P. nebulifer"
"14","N","PAR-59","P. maculatofasciatus"
"15","O","PAR-60","P. nebulifer"
"16","P","PAR-69","P. nebulifer"
"17","Q","PAR-75","P. nebulifer"
"18","R","PAR-77","P. clathratus"
"19","S","PAR-79","P. nebulifer"
"20","T","PAR-83","P. nebulifer"
"21","U","PAR-85","P. nebulifer"
"22","V","PAR-91","P. clathratus"
"23","W","PAR-130","P. nebulifer"
"24","X","PAR-141","P. clathratus"
"25","Y","PAR-116","P. nebulifer"
"26","Z","PAR-14","P. nebulifer"
"27","AA","PAR-39","P. clathratus"
"28","BA","PAR-153","P. clathratus"
"29","CA","PAR-41","P. nebulifer"
"30","DA","PAR-48","P. clathratus"
"31","EA","PAR-19","P. nebulifer"
"32","FA","PAR-81","P. nebulifer"
"33","GA","PAR-21","P. nebulifer"
"34","HA","PAR-72","P. nebulifer"
"35","IA","PAR-24","P. nebulifer"
"36","JA","PAR-17","P. nebulifer"
"37","KA","PAR-38","P. clathratus"
"38","LA","PAR-68","P. clathratus"
"39",NA,"PAR-16","P. nebulifer"
"40","OA","PAR-15","P. nebulifer"
"41","PA","PAR-20","P. nebulifer"
"42","QA","PAR-12","P. nebulifer"
"43","RA","PAR-131","P. nebulifer"
"44","SA","PAR-1","P. clathratus"
"45","TA","PAR-56","P. nebulifer"
"46","UA","PAR-40","P. clathratus"
"47","VA","PAR-6","P. nebulifer"
"48","WA","PAR-114","P. nebulifer"
"49","XA","PAR-61","P. clathratus"
"50","YA","PAR-10","P. nebulifer"
"51","ZA","PAR-140","P. nebulifer"
"52","AB","PAR-93","P. clathratus"
"53","BB","PAR-8","P. nebulifer"
"54","CB","PAR-36","P. clathratus"
"55","DB","PAR-3","P. clathratus"
"56","EB","PAR-105","P. clathratus"
"57","FB","PAR-82","P. nebulifer"
"58","GB","PAR-76","P. clathratus"
"59","HB","PAR-4","P. clathratus"
"60","IB","PAR-9","P. nebulifer"
"61","JB","PAR-90","P. clathratus"
