"Label","stage","vpatch","numv","locv","lightv","dnumloc","vpatchF","vchar","crown","lateral","pec","dfinF","dnumlocF","lateralPF","dfinPF","crownPF","pecPF","trunk","vcontin","saddles","broadd","horzeye","slanteye"
"A","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","1","1","0","0","0","0","0","0"
"B","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","1","1","0","0","0","0","0","0"
"C","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","1","0","0","0","0"
"D","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0","0","1","0","0","0","0"
"E","F",NA,NA,NA,NA,NA,"2","1","0","0","0","0","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F","PrF","1","2","1","0","AMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G","F",NA,NA,NA,NA,NA,"1","0","0","0","1","1","MP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","F",NA,NA,NA,NA,NA,"1","0","0","1","0","1","AMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I","PrF","1","2","1","0","AMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J","PrF","1","1","1","0","AMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K","PrF","2","1","0","1","AMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L","PrF","1","2","3","0","AMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M","PrF","2","1","0","1","AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","PrF","2","2","3","0","AMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O","PrF","2","1","0","1","AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P","PrF","2","1","0","1","AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q","PrF","2","1","0","1","MP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","PrF","1","2","1","0","AMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
